feature,importance
great,0.013069114421868587
not,0.009304797823946121
no,0.008575680557802888
sound,0.00823002002787513
for,0.00766559168489272
easy,0.006414022166007535
love,0.006336641395241167
good,0.005782322835681181
after,0.005149189400108154
easy to,0.005082365182926857
sonos,0.004769760789321527
the,0.004736758781123942
well,0.004522524282532348
and,0.0043239389431411574
is,0.0042658742192698725
my,0.004126045990063192
comfortable,0.004087649543554379
are,0.0036836251522984354
quality,0.003544647153680531
perfect,0.0035298912286966682
amazing,0.0034183473470039993
to,0.0033989604806087255
stopped,0.0033502200342339027
working,0.003323164514849507
can,0.003274786091018796
best,0.0032647229991879206
great sound,0.0032260247001585246
it,0.0032129076525824647
was,0.003041130111674411
noise,0.002965451740612151
terrible,0.0029497382685750727
disappointed,0.0029417629446639487
of,0.0029181738394860306
little,0.002910868262266226
poor,0.0028515704599326873
one,0.002848939583821612
like,0.0028184517717747067
battery life,0.0027632989616345888
this,0.002753354015767431
you,0.0027106174948339653
